iter	Passed	Remaining
825	16235	3420
826	16256	3400
827	16275	3380
828	16294	3361
829	16312	3341
830	16330	3321
831	16348	3301
832	16366	3281
833	16384	3261
834	16401	3240
835	16419	3221
836	16436	3200
837	16454	3181
838	16472	3160
839	16491	3141
840	16509	3121
841	16526	3101
842	16544	3081
843	16563	3061
844	16581	3041
845	16600	3021
846	16620	3002
847	16638	2982
848	16657	2962
849	16676	2942
850	16695	2923
851	16715	2903
852	16732	2883
853	16751	2863
854	16768	2843
855	16787	2824
856	16809	2804
857	16830	2785
858	16849	2765
859	16867	2745
860	16886	2726
861	16906	2706
862	16923	2686
863	16940	2666
864	16959	2646
865	16978	2627
866	16997	2607
867	17017	2587
868	17035	2568
869	17056	2548
870	17074	2528
871	17092	2508
872	17110	2489
873	17131	2469
874	17148	2449
875	17165	2429
876	17185	2410
877	17204	2390
878	17223	2370
879	17242	2351
880	17264	2331
881	17281	2312
882	17298	2292
883	17315	2272
884	17334	2252
885	17352	2232
886	17371	2213
887	17389	2193
888	17408	2173
889	17427	2154
890	17450	2134
891	17472	2115
892	17492	2095
893	17514	2076
894	17536	2057
895	17555	2037
896	17575	2018
897	17593	1998
898	17613	1978
899	17630	1958
900	17652	1939
901	17674	1920
902	17694	1900
903	17713	1881
904	17732	1861
905	17753	1841
906	17773	1822
907	17795	1803
908	17813	1783
909	17833	1763
910	17854	1744
911	17875	1724
912	17896	1705
913	17918	1685
914	17938	1666
915	17958	1646
916	17976	1627
917	17996	1607
918	18016	1587
919	18036	1568
920	18056	1548
921	18078	1529
922	18097	1509
923	18116	1490
924	18134	1470
925	18152	1450
926	18170	1430
927	18190	1411
928	18208	1391
929	18229	1372
930	18249	1352
931	18268	1332
932	18287	1313
933	18307	1293
934	18326	1274
935	18348	1254
936	18369	1235
937	18389	1215
938	18408	1195
939	18428	1176
940	18446	1156
941	18465	1136
942	18483	1117
943	18503	1097
944	18523	1078
945	18542	1058
946	18563	1038
947	18581	1019
948	18602	999
949	18621	980
950	18652	961
951	18674	941
952	18694	921
953	18716	902
954	18737	882
955	18757	863
956	18781	843
957	18802	824
958	18824	804
959	18843	785
960	18862	765
961	18880	745
962	18898	726
963	18920	706
964	18941	687
965	18961	667
966	18980	647
967	18997	628
968	19017	608
969	19041	588
970	19062	569
971	19082	549
972	19102	530
973	19125	510
974	19145	490
975	19165	471
976	19186	451
977	19207	432
978	19227	412
979	19247	392
980	19269	373
981	19289	353
982	19309	333
983	19331	314
984	19349	294
985	19368	275
986	19385	255
987	19406	235
988	19424	216
989	19440	196
990	19459	176
991	19477	157
992	19496	137
993	19518	117
994	19538	98
995	19556	78
996	19576	58
997	19594	39
998	19614	19
999	19632	0
